NAME,groupId,att1f,att2f,att3f,att4f,att5f,att6f,att7f,att8f,att9f,att1v,att2v,att3v,att4v,att5v,att6v,att7v,att8v,att9v
Amanda ,3,44,3,98,44,41,79,27,92,16,5,78,48,98,70,11,84,66,29
George ,3,23,90,66,62,18,93,22,39,39,69,31,6,5,66,80,14,11,22
Melissa ,2,98,28,12,54,37,45,32,8,49,23,36,28,17,71,46,12,29,84
Edward ,3,5,89,93,18,29,99,65,30,69,69,13,76,73,36,23,1,58,60
Deborah ,4,78,19,74,1,99,14,30,8,28,38,11,64,33,23,93,19,8,52
Ronald ,3,69,56,98,88,35,97,37,95,67,64,64,86,45,51,35,89,2,97
Stephanie ,3,59,84,72,36,15,84,93,88,25,63,5,35,93,90,94,5,27,71
Timothy ,1,50,66,81,54,10,86,52,6,18,17,66,60,93,69,88,41,25,28
Rebecca ,4,35,16,57,74,63,44,86,7,30,94,19,54,14,65,41,6,87,81
Jason ,4,51,4,73,70,79,6,26,22,22,76,36,31,42,77,26,50,66,26
Laura ,5,24,22,35,63,73,55,15,35,30,82,89,39,4,45,81,67,68,92
Jeffrey ,2,38,94,62,41,35,84,86,70,62,3,78,19,46,37,75,70,22,19
Sharon ,1,15,82,8,30,46,56,97,69,17,4,76,32,45,8,95,70,52,19
Ryan ,4,99,2,94,2,78,95,74,57,63,25,40,58,18,21,80,87,11,54
Cynthia ,4,51,77,91,29,72,74,85,68,14,7,70,14,21,88,47,32,53,11
Jacob ,5,12,83,84,53,7,95,98,44,17,43,78,38,8,63,93,85,39,4
Kathleen ,1,56,24,37,47,46,19,93,76,80,22,20,35,81,53,67,91,23,50
Gary ,5,81,44,72,66,4,71,21,25,12,83,88,17,38,77,60,80,70,34
Amy ,5,97,84,25,78,33,93,5,44,94,2,95,39,83,67,32,88,60,30
Nicholas ,1,76,43,20,56,64,71,3,2,17,47,53,29,26,51,56,99,48,31
Shirley ,3,43,70,23,92,47,82,4,2,54,85,66,1,39,86,74,46,2,59
Eric ,2,34,31,35,77,50,73,93,54,17,88,48,99,43,39,56,28,19,97
Angela ,3,11,15,55,39,8,40,16,22,13,51,56,1,53,16,48,21,42,88
Jonathan ,1,91,89,28,82,52,43,54,92,80,12,80,34,58,14,46,13,67,10
Helen ,4,72,50,48,20,45,43,49,12,28,28,85,71,78,99,11,28,34,61
Stephen ,5,59,31,24,65,30,59,39,96,11,55,23,5,3,91,60,5,49,73
Anna ,3,17,63,23,17,2,17,44,72,4,32,37,93,51,22,50,27,19,28
Larry ,5,49,78,25,30,51,75,88,62,79,11,44,57,27,99,35,70,47,49
Brenda ,2,21,65,67,40,57,94,67,53,87,2,74,39,29,14,54,28,64,92
Justin ,1,59,34,72,50,72,84,22,96,3,78,22,94,8,21,24,41,63,95
Pamela ,2,75,69,37,50,13,17,42,30,31,45,96,13,46,9,95,95,7,39
Scott ,1,89,16,24,48,4,86,40,93,3,19,50,26,62,31,32,71,52,65
Nicole ,1,38,21,79,40,71,18,77,51,94,16,64,33,96,74,24,50,17,49
Brandon ,2,88,58,43,55,24,74,57,77,98,8,28,13,61,76,92,26,17,19
Emma ,5,57,62,10,23,28,97,66,29,62,96,70,43,10,49,91,20,57,26
Benjamin ,2,52,58,73,6,52,93,8,67,53,1,12,32,41,85,90,38,62,62
Samantha ,4,59,93,95,40,57,89,86,17,56,25,5,6,86,59,94,16,43,85
Samuel ,3,28,63,45,57,57,32,91,86,90,65,97,99,86,95,82,81,62,27
Katherine ,5,33,13,1,74,87,64,47,32,76,97,13,11,62,54,21,78,8,60
Gregory ,2,79,19,35,41,42,18,45,27,62,28,71,17,87,54,88,43,34,76
Christine ,2,69,55,52,37,79,93,69,53,59,10,45,84,21,92,87,27,64,22
Frank ,4,83,87,21,3,8,97,79,64,13,48,88,89,26,9,44,76,83,60
Debra ,4,58,47,58,67,20,81,33,84,64,36,74,45,60,77,36,16,1,54
Alexander ,2,58,83,58,98,39,99,1,34,47,47,78,20,28,40,49,41,91,86
Rachel ,4,68,11,83,21,97,69,78,46,87,9,22,94,55,84,89,5,55,79
Raymond ,1,62,82,18,56,66,19,43,32,59,25,59,82,53,38,42,1,17,54
Carolyn ,1,16,32,48,27,53,21,68,84,20,94,74,84,34,25,49,10,9,67
Patrick ,1,34,48,50,88,24,12,33,35,53,82,31,9,92,35,85,17,72,65
Janet ,4,96,54,99,22,44,73,54,64,53,21,57,13,94,25,20,22,21,62
Jack ,3,13,13,10,78,55,54,69,63,47,92,46,85,27,53,78,48,70,72
Catherine ,1,32,78,10,43,20,83,43,29,46,97,94,30,34,39,5,97,5,57
Dennis ,1,77,82,23,4,45,83,14,92,53,88,39,49,35,33,19,55,83,58
Maria ,4,98,95,1,13,29,31,9,55,48,47,35,6,65,66,21,27,99,35
Jerry ,5,6,12,72,23,81,4,35,91,99,82,22,26,49,94,56,5,81,66
Alexandria,3,90,2,43,34,15,47,74,71,37,86,51,25,72,35,31,64,67,74
Mary ,2,72,83,2,8,13,59,43,74,42,92,26,75,44,88,93,45,94,41
